DIV_NUM,DEPT_NUM,CUST_NUM,ITEM_NUM,UPC,DESCRIPTION,ITEM_SIZE_DESC,CGO_FLAG,WHSE_NUM,ALLOCATION,STATCODE,STATUS,PACK_SIZE,LAST_RECEIVED_DATE,WISTAT_EFF_DATE
1,1,142,11690769,0041190576791,SRBB ENGLSH MFN LT PR,12 OZ    ,Y,3,21,4 ,ON HOLD,14,0001-01-01,2020-04-28
1,1,142,11680057,0888109110048,HOST COFFEE CAKE     ,11.6 OZ  ,Y,3,9,1 ,ACTIVE,6,2021-10-14,2021-08-12
